text,label
"Appearing on Joe Rogan’s podcast, Senator JD Vance also said that liberal women celebrate their abortions and that Donald Trump would win the “normal gay guy vote.”",fact
"Travis John Branson was part of a conspiracy that killed 3,600 birds, prosecutors said. He also trafficked and sold bird parts on the black market.",fact
The model and television host dressed as the alien from Steven Spielberg’s 1982 film for her annual New York City costume party.,fact
"Attendance on Wednesday, or whatever day the results are announced, is optional for high school students at the Ethical Culture Fieldston School in New York City, families were told.",fact
"Despite an openness to cross-border mergers, Germany has pushed back against talk of the Italian lender UniCredit’s acquiring Commerzbank.",fact
"“We make each other laugh every day,” Jeffrey Grossman said of his bond with Karl Hinze, whom he met in 2009.",fact
"The government, its makeup in flux after the governing party lost seats this week, will soon need to make decisions that will shape Japan’s future nuclear policy.",fact
"When the opera singers Nicholas Martorano and Elizabeth Novella first met, they knew something was meant to be.",fact
Darian Aaron wasn’t looking for anything serious when he downloaded Tinder four years ago. Then he met Marcus Gresham.,fact
"In this essay from 2016, a writer struggles to reconcile her love for a woman with being “a good Christian girl.”",fact
